company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
RiskSave Technologies,2022-03-08T12:10:54.146Z,Other financial services,Financial & insurance activities,United Kingdom,London Borough of Islington,London,Service with Minor Environmental Footprint,1-9,risksave.com
Uomo & Ambiente S.r.l. Società Benefit,2022-08-18T09:54:13.089Z,Management  consultant - for-profits,Professional & technical services,Italy,Torino,Torino,Service with Minor Environmental Footprint,10-49,www.uomoeambiente.com
AKOMA,2022-02-12T18:27:44.422Z,Personal care products,Manufactured Goods,United Kingdom,Derbyshire,Derby,Manufacturing,1-9,www.akomaskincare.co.uk
Bother,2021-12-20T13:42:03.063Z,General retail via Internet,Retail,United Kingdom,London Borough of Brent,London,Wholesale/Retail,10-49,www.bother.com
A STELLAR CO,2022-03-17T06:29:01.936Z,Management  consultant - for-profits,Professional & technical services,United States,California,San Diego,Service with Minor Environmental Footprint,0,www.astellar.co
Longview Structures LLC,2022-08-12T03:02:18.453Z,Contracting & building,"Real estate, design & building",United States,Pennsylvania,Lancaster,Service with Significant Environmental Footprint,1-9,www.longviewstructures.com
"Magnolia Consulting, LLC",2022-08-17T14:44:03.877Z,"Other professional, scientific & tech",Professional & technical services,United States,Virginia,Charlottesville,Service with Minor Environmental Footprint,1-9,www.magnoliaconsulting.org
Investment Tribe,2022-03-02T19:06:20.103Z,Real estate- fee/contract,"Real estate, design & building",United Kingdom,Scotland,Edinburgh,Service with Minor Environmental Footprint,1-9,www.investmenttribe.co
Greenfern Industries,2022-03-21T03:52:10.192Z,Plant propogation,"Agriculture, forestry & fishing",New Zealand,Auckland Region,Auckland,Agriculture/Growers,1-9,gfi.nz
System Akvile,2021-12-17T09:30:55.257Z,Personal care products,Retail,Germany,Hamburg,Hamburg,Wholesale/Retail,1-9,systemakvile.com
2W Energia,2021-12-29T16:50:21.641Z,Other renewable energy installation,Energy,Brazil,São Paulo,São Paulo,Service with Significant Environmental Footprint,50-249,www.2wenergia.com.br
